"IV","DV","N","beta","se","CI_low","CI_high","t","df_error","p","p.adj"
"TripChains","iso",2667,-0.0419789568301723,0.0198955923459552,-0.0809914534454345,-0.00296646021491023,-2.1099626540502,2645,0.0349552598523858,0.661453024987465
"MilesPerTrip_n","iso",2664,-0.0215616804149977,0.0203990123528152,-0.0615613346212881,0.0184379737912927,-1.05699629188283,2642,0.290609916605598,1
"MinutesPerTrip_n","iso",2663,-0.0116550688904973,0.0198703617727388,-0.0506181188681158,0.0273079810871213,-0.586555444928409,2641,0.55755244389276,1
"MilesPerChain_n","iso",2661,-0.00361441370029235,0.0198459173350502,-0.0425295450156299,0.0353007176150452,-0.182123790967771,2639,0.855499566448964,1
"MinutesPerChain_n","iso",2661,0.00454174377988652,0.0195706924239406,-0.0338337091030429,0.0429171966628159,0.232068630046562,2639,0.816502703163376,1
"Average_speed","iso",2664,-0.0455651339258673,0.0228888971973567,-0.0904471094461794,-0.000683158405555231,-1.99070901201519,2642,0.0466157432768442,0.761815852245065
"LeftTurnCount","iso",2666,-0.0441145876354016,0.0198426033382791,-0.0830231868944042,-0.00520598837639905,-2.22322579771065,2644,0.0262848098335677,0.555899125527612
"RightToLeftTurnRatio_n","iso",2667,0.0100992881540034,0.0213645999158441,-0.0317937285207551,0.0519923048287619,0.472711316560332,2645,0.636458154153193,1
"TripsAMPeak","iso",2664,-0.0832417738628524,0.0196893385602873,-0.121849855486637,-0.0446336922390682,-4.22775877452521,2642,0.0000244047565780536,0.00292478063373302
"PercentTripsAMPeak_n","iso",2661,-0.0757639454941384,0.0197409941513078,-0.114473336787263,-0.0370545542010143,-3.83789919157234,2639,0.000127003886074377,0.0108719586578232
"TripsPMPeak","iso",2667,-0.0361057171483937,0.0196996178927803,-0.0747339350471331,0.00252250075034562,-1.83281307002539,2645,0.0669427217468159,0.99482980960838
"PercentTripsPMPeak_n","iso",2665,0.022956375399611,0.0197749892457381,-0.0158196486997168,0.0617323994989388,1.16087928616995,2643,0.245795832212621,1
"TripsAtNight","iso",2665,0.0230470827121055,0.0202898377113229,-0.016738488156676,0.0628326535808869,1.1358929056019,2643,0.256104375411846,1
"PercentTripsAtNight_n","iso",2662,0.0558997534722802,0.0204487526103597,0.0158025515479053,0.0959969553966551,2.73365102201688,2640,0.00630542252073482,0.217982147689982
"TripsLt15Miles","iso",2665,-0.055209937149368,0.0194241630392034,-0.0932980394870088,-0.0171218348117272,-2.84233287364501,2643,0.00451282644565167,0.179563984353265
"PercentDistLt15Miles_n","iso",2662,-0.00282260797652825,0.0205746819641853,-0.0431667401085673,0.0375215241555108,-0.137188413480296,2640,0.89089233027198,1
"TripsVgt60","iso",2667,-0.0326351865464777,0.0212403729405459,-0.0742846113558083,0.00901423826285293,-1.53646956377965,2645,0.124542863830327,1
"PercentTripsVgt60_n","iso",2663,-0.00965512982367987,0.0217870392326218,-0.0523765210189632,0.0330662613716035,-0.443159335263105,2641,0.657686787131876,1
"SpeedingPer1000Miles","iso",2659,0.00428153275669437,0.0200073825827604,-0.0349502234929796,0.0435132890063683,0.213997645068456,2637,0.830565438348334,1
"DecelerationPer1000Miles","iso",2665,0.0853581558383339,0.0196876635216932,0.0467533654290971,0.123962946247571,4.33561634900355,2643,0.0000150792292248556,0.00208519112629459
"DaysDriving","info",2664,-0.0297081330210029,0.0192535829210899,-0.0674617578414443,0.00804549179943844,-1.54299244679604,2642,0.1229523695996,1
"Miles_n","info",2663,-0.0426510163651417,0.0199627892513475,-0.0817953039321671,-0.00350672879811627,-2.13652590467852,2641,0.0327282325606748,0.632994283421207
"Trips","info",2662,-0.0304759190598406,0.0191521276217714,-0.0680306170487296,0.00707877892904828,-1.59125501154226,2640,0.111671922912442,1
"TripMinutes_n","info",2663,-0.0459404168341548,0.0196188902147287,-0.0844103656294818,-0.00747046803882779,-2.34164197522577,2641,0.0192730852416013,0.462101447999716
"TripChains","info",2664,0.00531539366813605,0.0196575399595139,-0.0332303352783134,0.0438611226145855,0.270399738679585,2642,0.786873861489399,1
"MilesPerTrip_n","info",2661,-0.0264876178003645,0.0201889679260639,-0.0660754244358561,0.0131001888351271,-1.31198473826733,2639,0.189639394935725,1
"MinutesPerTrip_n","info",2659,-0.0223844487788696,0.0197079984644035,-0.0610291534885524,0.0162602559308132,-1.13580528328639,2637,0.256141280713618,1
"MilesPerChain_n","info",2658,-0.0302020898575302,0.0196256399645434,-0.0686853074535618,0.00828112773850143,-1.53890980941741,2636,0.12394633912126,1
"MinutesPerChain_n","info",2658,-0.0272279265285882,0.0193629990531368,-0.065196140926684,0.0107402878695076,-1.40618333213094,2636,0.159787558934136,1
"Average_speed","info",2661,-0.0392071081872084,0.022646225860241,-0.0836132617688133,0.00519904539439644,-1.73128663597949,2639,0.083517527018967,1
"LeftTurnCount","info",2663,-0.0424034602166193,0.0195575919660198,-0.0807532115663587,-0.00405370886687992,-2.16813298335976,2641,0.0302375974392497,0.603969278953747
"RightToLeftTurnRatio_n","info",2664,0.0391391765432388,0.021087790976718,-0.00221107769722388,0.0804894307837015,1.85601121456726,2642,0.0635632310225413,0.976630269288589
"TripsAMPeak","info",2661,-0.0442383015186876,0.0195120097249292,-0.0824986856497214,-0.00597791738765373,-2.26723449518208,2639,0.0234564671857664,0.501988067815682
